by_capability_id,service_id,by_capability,service_provider,service_name,deployment,cloud_region
capa_001,serv_001,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_002,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_003,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_004,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_005,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_006,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_007,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_008,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_009,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_010,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_011,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_012,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_001,serv_013,Conversational AI & Advisory,AWS,Amazon Bedrock,Cloud,US-East-1
capa_002,serv_014,Data & Analytics,AWS,Amazon Athena,Cloud,"AMER, EUR, APAC"
capa_002,serv_015,Data & Analytics,AWS,Amazon EMR,Cloud,"AMER, EUR, APAC"
capa_002,serv_016,Data & Analytics,AWS,Amazon Redshift,Cloud,"AMER, EUR, APAC"
capa_002,serv_017,Data & Analytics,Azure,Azure Databricks,Cloud,"AMER, EUR, APAC"
capa_002,serv_018,Data & Analytics,Azure,Azure Synapse Analytics,Cloud,"AMER, EUR, APAC"
capa_002,serv_019,Data & Analytics,GCP,BigQuery,Cloud,"AMER, EUR, APAC"
capa_002,serv_020,Data & Analytics,GCP,Dataproc,Cloud,"AMER, EUR, APAC"
capa_002,serv_021,Data & Analytics,SaaS,Databricks (non-AWS),Cloud,"AMER, EUR, APAC"
capa_002,serv_022,Data & Analytics,SaaS,Snowflake (multi-cloud),Cloud,"AMER, EUR, APAC"
capa_002,serv_023,Data & Analytics,Open-Source,Pandas,On-Prem,On-Prem
capa_002,serv_024,Data & Analytics,Open-Source,Apache Spark,On-Prem,On-Prem
capa_002,serv_025,Data & Analytics,Open-Source,Dask,On-Prem,On-Prem
capa_002,serv_026,Data & Analytics,Open-Source,Vaex,On-Prem,On-Prem
capa_003,serv_027,Document Intelligence,AWS,Amazon Textract,Cloud,"AMER, EUR, APAC"
capa_003,serv_028,Document Intelligence,Azure,Azure AI Document Intelligence,Cloud,"AMER, EUR, APAC"
capa_003,serv_029,Document Intelligence,GCP,Document AI,Cloud,"AMER, EUR, APAC"
capa_003,serv_030,Document Intelligence,SaaS,ABBYY FlexiCapture,On-Prem,"AMER, EUR, APAC"
capa_003,serv_031,Document Intelligence,SaaS,Rossum,On-Prem,"AMER, EUR, APAC"
capa_003,serv_032,Document Intelligence,SaaS,DocMind AI,On-Prem,"AMER, EUR, APAC"
capa_003,serv_033,Document Intelligence,Open-Source,Tesseract OCR,On-Prem,On-Prem
