agent_name,applicable_persona,applicable_industry,problem_statement,user_journeys,wow_factor,expected_output,session_id,requirement_id,created_at,updated_at,status,user_id,user_type
Agreement Rewriter for Bank Managers,Bank managers,Banking and Finance,Rewriting agreements based on input applications,"Input application data, generate customized agreements, review and finalize documents",Efficient use of LLM for tailored document creation,Customized agreements ready for use,chat_1234567890_abc123,req_002,2025-10-17T17:54:58.821166,2025-10-17T17:54:58.821166,discovered,anonymous,
Application Filter Wizard,HR professionals,Human Resources,"HR teams often struggle with sifting through a large volume of applications, leading to missed qualified candidates and increased time-to-hire.","Upload resumes, filter using natural language queries, review shortlisted candidates, refine searches, proceed to interview stage.",Utilizing advanced natural language processing to provide relevant candidates based on intuitive queries.,A streamlined workflow with a chat interface for efficient candidate filtering.,test_session_confirm_fix,req_003,2025-10-17T19:33:32.598332,2025-10-17T19:33:32.598332,discovered,anonymous,
TalentScout AI,HR Professionals,Human Resources,,"Upload applications, set filtering criteria, automated filtering, review results, select candidates for interview",,,8a1e9e67-8158-4477-b3f7-2c5d2d0b1333,req_004,2025-10-23T22:59:06.293668,2025-10-23T22:59:06.293668,discovered,isv_001,isv
E-Com Ally,E-commerce customers,E-commerce,,"Initial interaction, inquiry handling, order tracking, FAQs, escalation",,,8f1d0253-ee37-4d53-bdbe-8b7e4e4e1b91,req_005,2025-10-23T22:59:20.093149,2025-10-23T22:59:20.093149,discovered,reseller_001,reseller
TestGenie AI,Software Testers and Developers,Software Development and Quality Assurance,"Facilitates the generation of test data by interpreting natural language conditions, reducing the need for technical expertise in data creation.","Define Requirements, Parse Input, Generate Data, Review Data, Export Data",Utilizes advanced natural language processing to seamlessly convert user instructions into structured test data.,"Structured test data files in user-defined formats, ready for testing purposes.",chat_1761637247298_h4onedl6c,req_006,2025-10-28T18:41:59.689875,2025-10-28T18:41:59.689875,discovered,anonymous,anonymous
VocalScribe AI,Professionals needing documentation,"Various industries (e.g., legal, medical, business)",,"Recording, Transcription, Formatting, Editing, Exporting",,,chat_1761637743984_b2aanaeau,req_007,2025-10-28T18:49:34.246172,2025-10-28T18:49:34.246172,discovered,anonymous,anonymous
VocalScribe AI,"Professionals, educators, content creators","Education, media, business","Automates transcription of audio and video content into written documents, saving time and effort.","Recording audio or uploading video, transcribing content to text, formatting choice (Word, PDF, etc.), editing the transcribed text, exporting the finished document.",Dual capability for audio and video; AI-enhanced transcription accuracy with real-time editing options.,"Polished documents in the chosen format, ready for distribution or archiving.",chat_1761637743984_b2aanaeau,req_008,2025-10-28T18:51:52.310400,2025-10-28T18:51:52.310400,discovered,anonymous,anonymous
BRD Maestro,"Business Analysts, Project Managers","Any industry requiring structured documentation, especially IT and business development",Streamlines the BRD creation process by using natural language prompts to gather requirements intuitively.,Initiation of a new BRD project; Natural language input to gather requirements; Organized and categorized data collection; Drafting of the BRD; Review and edit suggestions based on best practices; Finalization and formatting for presentation,"Engages users in a conversational manner, making complex requirements easily understandable and structured.","A comprehensive, well-structured BRD ready for presentation, along with a summary of key business requirements.",chat_1761645661101_rt2r1j99d,req_009,2025-10-28T21:01:58.445483,2025-10-28T21:01:58.445483,discovered,anonymous,anonymous
SalesGenius AI,Sales Teams,Sales & Marketing,Efficiently manages lead generation and follow-up processes to enhance conversion rates.,"Lead generation, lead scoring, follow-up reminders, performance tracking.",Advanced analytics and machine learning for real-time sales optimization.,Comprehensive dashboard with lead insights and performance analytics.,chat_1761645860678_f2u9c01my,req_010,2025-10-28T21:05:17.514228,2025-10-28T21:05:17.514228,discovered,anonymous,anonymous
LeadMaster Chatbot,Sales Teams,Sales and Marketing,"The agent will help the sales team manage leads more effectively by automating lead qualification, follow-ups, and providing real-time insights through a chat interface.","Initiate conversations for lead generation, qualify leads through interactive dialogue, automate follow-up messages, provide performance insights via chat, enable interactive reporting on demand.","Natural Language Processing for personalized interactions, smart automation of routine sales tasks, real-time insights into lead performance and metrics.","Streamlined lead management, increased efficiency in follow-ups, and timely access to sales performance insights.",chat_1761649783304_agdplq6y1,req_011,2025-10-28T22:11:26.113352,2025-10-28T22:11:26.113352,discovered,anonymous,anonymous
SalesScribe AI,Sales Team Members,Sales,,"Voice Activation, Note Taking, Data Integration, Review & Edit, Follow-up Actions",,,chat_1761651852783_rhsxcx673,req_012,2025-10-28T22:44:32.044716,2025-10-28T22:44:32.044716,discovered,anonymous,anonymous
